Year,URL,Date,Competition,Opponent,Goals Scored,Goals Received,Attendance,Month,DOW,Result
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsrsl-03-02-2019,Saturday March 2 2019,MLS Regular Season,Salt Lake,1.0,1.0,16827.0,March,Saturday,D
2019,https://www.houstondynamofc.com/competitions/concacaf-champions-league/2018/matches/houvstig-03-05-2019,Tuesday March 5 2019,CONCACAF Champions Cup,Tigres,0.0,2.0,14326.0,March,Tuesday,L
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsmtl-03-09-2019,Saturday March 9 2019,MLS Regular Season,Montréal,2.0,1.0,12601.0,March,Saturday,W
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsvan-03-16-2019,Saturday March 16 2019,MLS Regular Season,Vancouver,3.0,2.0,13549.0,March,Saturday,W
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvssj-04-13-2019,Saturday April 13 2019,MLS Regular Season,San Jose,2.0,1.0,14476.0,April,Saturday,W
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsccsc-04-27-2019,Saturday April 27 2019,MLS Regular Season,Columbus,2.0,0.0,15557.0,April,Saturday,W
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsdal-05-04-2019,Saturday May 4 2019,MLS Regular Season,Dallas,2.0,1.0,16521.0,May,Saturday,W
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvspor-05-15-2019,Wednesday May 15 2019,MLS Regular Season,Portland,1.0,1.0,13327.0,May,Wednesday,D
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsdc-05-18-2019,Saturday May 18 2019,MLS Regular Season,D.C.,2.0,1.0,15811.0,May,Saturday,W
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsskc-06-01-2019,Saturday June 1 2019,MLS Regular Season,Kansas City,1.0,1.0,15710.0,June,Saturday,D
2019,https://www.houstondynamofc.com/competitions/u-s-open-cup/2019/matches/houvsaus-06-11-2019,Tuesday June 11 2019,U.S. Open Cup,Austin Bold,3.0,2.0,4765.0,June,Tuesday,W
2019,https://www.houstondynamofc.com/competitions/u-s-open-cup/2019/matches/houvsmin-06-18-2019,Tuesday June 18 2019,U.S. Open Cup,Minnesota,2.0,3.0,4559.0,June,Tuesday,L
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsrbny-07-03-2019,Wednesday July 3 2019,MLS Regular Season,New York,4.0,0.0,19531.0,July,Wednesday,W
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvslfc-07-12-2019,Friday July 12 2019,MLS Regular Season,LAFC,1.0,3.0,17219.0,July,Friday,L
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvssea-07-27-2019,Saturday July 27 2019,MLS Regular Season,Seattle,0.0,1.0,15138.0,July,Saturday,L
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvschi-08-03-2019,Saturday August 3 2019,MLS Regular Season,Chicago,0.0,1.0,14250.0,August,Saturday,L
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvscol-08-17-2019,Saturday August 17 2019,MLS Regular Season,Colorado,2.0,2.0,15458.0,August,Saturday,D
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsmin-09-11-2019,Wednesday September 11 2019,MLS Regular Season,Minnesota,2.0,0.0,13566.0,September,Wednesday,W
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsocs-09-21-2019,Saturday September 21 2019,MLS Regular Season,Orlando,2.0,1.0,15146.0,September,Saturday,W
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsla-10-06-2019,Sunday October 6 2019,MLS Regular Season,LA,4.0,2.0,21777.0,October,Sunday,W
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsla-02-29-2020,Saturday February 29 2020,MLS Regular Season,LA,1.0,1.0,22039.0,February,Saturday,D
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsmin-09-02-2020,Wednesday September 2 2020,MLS Regular Season,Minnesota,3.0,0.0,2486.0,September,Wednesday,W
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsskc-09-05-2020,Saturday September 5 2020,MLS Regular Season,Kansas City,2.0,1.0,2486.0,September,Saturday,W
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsmin-09-19-2020,Saturday September 19 2020,MLS Regular Season,Minnesota,2.0,2.0,2486.0,September,Saturday,D
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsskc-10-03-2020,Saturday October 3 2020,MLS Regular Season,Kansas City,1.0,2.0,2004.0,October,Saturday,L
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsdal-10-07-2020,Wednesday October 7 2020,MLS Regular Season,Dallas,2.0,0.0,1582.0,October,Wednesday,W
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsnsh-10-14-2020,Wednesday October 14 2020,MLS Regular Season,Nashville,1.0,3.0,1328.0,October,Wednesday,L
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsccsc-10-24-2020,Saturday October 24 2020,MLS Regular Season,Columbus,1.0,1.0,2237.0,October,Saturday,D
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvscol-11-08-2020,Sunday November 8 2020,MLS Regular Season,Colorado,1.0,2.0,2327.0,November,Sunday,L
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvssj-04-16-2021-x4640,Friday April 16 2021,MLS Regular Season,,,,6376.0,April,Friday,L
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvssj-04-16-2021,Friday April 16 2021,MLS Regular Season,San Jose,2.0,1.0,6376.0,April,Friday,W
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvslafc-05-01-2021,Saturday May 1 2021,MLS Regular Season,LAFC,1.0,1.0,7850.0,May,Saturday,D
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsskc-05-12-2021,Wednesday May 12 2021,MLS Regular Season,Kansas City,1.0,0.0,7054.0,May,Wednesday,W
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsvan-05-22-2021,Saturday May 22 2021,MLS Regular Season,Vancouver,2.0,1.0,9255.0,May,Saturday,W
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvspor-06-23-2021,Wednesday June 23 2021,MLS Regular Season,Portland,2.0,2.0,10791.0,June,Wednesday,D
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvscin-07-03-2021,Saturday July 3 2021,MLS Regular Season,Cincinnati,1.0,1.0,20021.0,July,Saturday,D
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsrsl-07-31-2021,Saturday July 31 2021,MLS Regular Season,Salt Lake,0.0,0.0,13462.0,July,Saturday,D
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvscol-08-14-2021,Saturday August 14 2021,MLS Regular Season,Colorado,1.0,3.0,13908.0,August,Saturday,L
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsdal-08-21-2021,Saturday August 21 2021,MLS Regular Season,Dallas,2.0,2.0,13548.0,August,Saturday,D
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsmin-08-28-2021,Saturday August 28 2021,MLS Regular Season,Minnesota,1.0,2.0,14521.0,August,Saturday,L
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvspor-09-03-2021,Friday September 3 2021,MLS Regular Season,Portland,0.0,2.0,9872.0,September,Friday,L
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsatx-09-11-2021,Saturday September 11 2021,MLS Regular Season,Austin,3.0,0.0,14070.0,September,Saturday,W
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsdal-09-18-2021,Saturday September 18 2021,MLS Regular Season,Dallas,3.0,2.0,12353.0,September,Saturday,W
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsvan-09-29-2021,Wednesday September 29 2021,MLS Regular Season,Vancouver,0.0,0.0,12114.0,September,Wednesday,D
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvssea-10-16-2021,Saturday October 16 2021,MLS Regular Season,Seattle,2.0,1.0,14265.0,October,Saturday,W
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsla-10-20-2021,Wednesday October 20 2021,MLS Regular Season,LA,0.0,3.0,13798.0,October,Wednesday,L
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvscol-10-31-2021,Sunday October 31 2021,MLS Regular Season,Colorado,0.0,1.0,14474.0,October,Sunday,L
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsrsl-02-27-2022,Sunday February 27 2022,MLS Regular Season,Salt Lake,0.0,0.0,18561.0,February,Sunday,D
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsvan-03-12-2022,Saturday March 12 2022,MLS Regular Season,Vancouver,2.0,1.0,13028.0,March,Saturday,W
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvscol-03-19-2022,Saturday March 19 2022,MLS Regular Season,Colorado,1.0,1.0,17007.0,March,Saturday,D
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvssj-04-09-2022,Saturday April 9 2022,MLS Regular Season,San Jose,4.0,3.0,15414.0,April,Saturday,W
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvspor-04-16-2022,Saturday April 16 2022,MLS Regular Season,Portland,0.0,0.0,13650.0,April,Saturday,D
2022,https://www.houstondynamofc.com/competitions/u-s-open-cup/2022/matches/houvsrgv-04-19-2022,Tuesday April 19 2022,U.S. Open Cup,RGV FC,2.0,1.0,7983.0,April,Tuesday,W
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsatx-04-30-2022,Saturday April 30 2022,MLS Regular Season,Austin,1.0,2.0,16296.0,April,Saturday,L
